hospital_id,district_id,hospital_name,address,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type,government_subtype
13,2,AAROGYAM HOSPITAL,"01 , STATION ROAD INFRONT OF IDBI BANK GANGADHAR PLOT AKOLA , 444001",444001.0,20.710621367140675,77.00089673910558,9028395411.0,15,Corporate,
14,3,AAROGYAM INSTITUTE OF MEDICAL SCIENCES,"WALCUT COMPOUND, BAJAJ NAGAR,MORSHI ROAD,NEAR RAILWAY STATION,AMRAVATI?%27,%27HSI47129%27)",444601.0,20.92904375146867,77.75162849537206,9823069100.0,50,Corporate,
15,4,AAROGYAM WOMEN AND CHLDREN CARE HOSPITAL PVT.LTD,,,19.945768804277467,75.41933472098128,,49,Corporate,
16,2,AASTHA ORTHOPEDIC HOSPITAL AND DIAGNOSTIC CENTER,"MAHAJANI PLOTS , near mahajani hospital , JATHAR PETH ROAD , near jain lawns - 444004",444004.0,20.669028393268945,77.02951526399752,8830342299.0,10,Corporate,
17,19,ABO EYE INSTITUTE,31BAIDYANATH SQUARE NAGPUR 440003,440003.0,21.122733217348536,79.08541359782205,9890162229.0,50,Corporate,
18,15,ACCIDENT FRACTURE ORTHOPEDIC & REPLACEMENT HOSPITAL,"20/564, BEHIND HOTEL UPAVAN, KOLHAPUR ROAD, Hatkanangle, Kolhapur- 416115",416115.0,16.406410760756273,74.28151862302585,9922556655.0,15,Corporate,
19,25,ACCORD HOSPITAL,"Plot No. 1/1, Sector No. 4,Spine Road,Santnagar, Moshipradhikaran,",412105.0,18.68517502239877,73.94417644020375,9689920815.0,150,Corporate,
20,17,ACHARYA SHRI RAMESH DIALYSIS CENTER,,,18.958266296218525,72.8319109396417,,20,Corporate,
21,17,ACI CUMBALLA HILL HOSPITAL,,,18.957537972910494,72.83305456224917,,53,Corporate,
22,6,ADHAR HOSPITAL( ACCIDENT AND CRITICAL CARE UNIT),"BEHIND R.B.ATTAL COLLEGE, GEORAI BEED ROAD",422605.0,19.61353563437333,74.1012356660566,8390297409.0,30,Corporate,
23,25,ADHAR SUPERSPECIALITY HOSPITAL,"PARGAON, AVASARI (BK), SHINGAVE, Ambegaon, Pune-412406",412406.0,18.975906,74.0447,9975051000.0,45,Corporate,
24,35,ADHIKARI LIFELINE BETEGAON HOSPITAL,,,19.295319026559653,73.01908443020235,,50,Corporate,
25,36,ADHIKARI LIFELINE Hospital -BOISAR-PALGHAR.,"TATA HOUSING,BOISAR ,BETEGAON,",401404.0,19.69836537414078,72.76930664026625,7030115444.0,30,Corporate,
26,24,ADHIRAJ MULTISPECIALITY HOSPITAL,Pathri Corner Bus Stand Road Selu  431503,431503.0,76.44158033405678,19.44703057034117,8275824812.0,15,Corporate,
27,13,"ADIT NEURO SURGICAL AND MATERNITY HOSPITAL, JALGAON","377/26,OMKAR NAGAR,NEAR CIVIL HOSPITAL,JILHA PETH,CIVIL HOSPITAL ROAD,JALGAON 425001",425001.0,20.464502683312496,75.00392294742518,9423974651.0,30,Corporate,
28,29,ADVANCE ORTHO HOSPITAL,"Plot No. 321/D,321/A/2, SHIRWAL, PUNE BANGLORE HIGHWAY - 412801",412801.0,18.200469,73.989143,8411866209.0,10,Corporate,
29,19,AERO HOSPITAL,"12 , KADBI SQUARE , KAMPTEE ROAD , METRO STATION , 440014",440014.0,21.180016524055237,79.08906314502316,9823079281.0,30,Corporate,
30,34,AGASTYA HOSPITAL ORTHO AND DENTAL CARE,DHAMANGAON ROAD 445206,445206.0,19.60063013162741,77.69033271790076,9764577990.0,20,Corporate,
31,7,AGRAWAL HOSPITAL,"Behind Nandura Urban Bank, Main Road near Water tank Nandura, Buldhana 443404",443404.0,20.971673114190214,76.85895635965186,7350427422.0,30,Corporate,
32,19,AIIMS Hospital Mihan Nagar,"PLOT NO 2,MIHAN NAGPUR,W BUILDING,D P School Mihan,NAGPUR",441108.0,20.85944434606433,78.97041902890054,7066501626.0,100,Government,
33,24,AIMS HOSPITAL,"Plot no: 22 ,AIMS TOWER,APNA CORNER ,DR ZAKIR HUSSAIN ROAD , PARBHANI -431401",431401.0,19.26971997780628,76.77379813886931,7588978250.0,100,Corporate,
34,15,AINAPURE EYE HOSPITAL,"07, Varad Colony, Laxmi Road, Shirol, Kolhapur-416101",416101.0,16.606920356434735,74.30323893807795,9325914007.0,10,Corporate,
35,4,AJANTA SUPERSPECIALITY HOSPITAL,,,19.944296077631524,75.41926864654212,,50,Corporate,
36,31,AKLUJ CRITICAL CARE AND TRAUMA CENTER,"100 Footy Bypass road, Akluj",413101.0,17.477033698491926,75.29759617406991,2185224800.0,50,Corporate,
37,1,AKSHAY CHILDRENS HOSPITAL AND MATERNITY HOME,"Plot No - 5 , AT BEHIND BHARAT BANK , NEAR ICHCHAPURATI RAM MANDIR , NAVAPUR NAKA BOISAR - 401501",414001.0,19.1630743950546,77.30607778764293,9511110444.0,15,Corporate,
38,26,ALFA HOSPITAL PVT LTD,"MORBA ROAD MANGAON  , 402104",402104.0,18.238372535628987,73.25255563702923,9860194940.0,50,Corporate,
39,22,ALL CARE MULTISPECIALITY HOSPITAL,"5TH FLOOR BUSSINESS ICON BLD, NARAYAN BAPU NAGAR , PINTO COLLONY , JAIL ROAD , NEAR INDRA GANDHI STATUE , 422101",422101.0,19.968806398367928,73.83233486315558,9423192655.0,30,Corporate,
40,17,ALL CURE SUPER SPECIALITY HOSPITAL,,,18.95747854959522,72.83223806204907,,60,Corporate,
41,31,"ALPESH BABY CARE AND CHILDREN HOSPITAL,MADHA,SOLAPUR.PVT.","TEMBHURNI ROAD, KURDUWADI, SOLAPUR- 413208",413208.0,18.02533495925346,75.26484321151456,9834766188.0,30,Corporate,
42,1,ALPHA MULTISPECIALITY HOSPITAL,"SANGAMNER RD. OPP. GAJANAN VASAHAT , SHRIRAMPUR -413709",413709.0,19.486463828356253,74.96966078713562,8149459054.0,35,Corporate,
43,16,ALPHA SUPERSPECIALITY HOSPITAL,"Opp Muktai Mangal Karyalaya, Sham Nagar, Ambajogai Road, Latur",413512.0,19.967848899034077,73.83152380059026,7276072976.0,100,Corporate,
44,35,AM PM 24 HRS HOSPITAL,AM PM 24 HRS HOSPITAL,421301.0,19.53508895878168,76.14563412036476,9969565495.0,51,Corporate,
45,4,AMAAN HOSPITAL ORTHOPAEDIC AND TRAUMA CENTRE,,,19.94433530227663,75.42019310914908,,10,Corporate,
46,34,AMEY NURSING HOME,"32149P YAVATMAL  MAINDE CHOWK TILAKWADI, NEAR WATER TANK  TILAKWADI  445001",445001.0,20.41402737623961,78.13327296328615,9850489820.0,10,Corporate,
47,31,AMIT ORTHOPAEDIC CENTER,"4776/108, NEAR UMA COLLEGE, KARAD ROAD, DATTA NAGAR, , PANDHARPUR, Solapur-413304",413304.0,17.793748103910954,75.35804111148174,9822110115.0,10,Corporate,
48,25,AMRUT HOSPITAL AND RESEARCH CENTER,"848/12, IN FRONT OF T.J.S.B. BANK,  MARKAR ROAD, ALANDI DEVACHI, Pune-412105",412105.0,18.686533244441797,73.94398687820568,9657708642.0,30,Corporate,
49,25,ANAND HOSPITAL,"BALAJI TOWER, CHAKAN, M.PHULE CHOWK, Pune - 410501",410501.0,18.70712899409128,73.9771781880265,9850048317.0,30,Corporate,
50,1,ANANDRISHIJI NETRALAYA,"125/8,ANANDRISHIJI MARG ,MAHAVEER BHAVAN,AHMADNAGAR",414001.0,19.163153338412734,77.30560254903074,8686401515.0,50,Corporate,
51,19,ANANTWAR EYE HOSPITAL,POWER GRID SQUARE NARI RING ROAD OPP. JAGAT CELLIBRATION HALL - 440026,440026.0,21.19238889,79.10386111,9823115854.0,10,Corporate,
52,11,ANANYA HOSPITAL,"Plot No. 401, HADDITOLI OFFICER COLONY %E2%80%93 441601",441601.0,21.48536694634924,80.25075031471424,9823066239.0,30,Corporate,
53,22,ANIRUDDHA MULTISPECIALITY HOSPITAL,"NAGARE BAYPAS ROAD,YEOLA,KOTAMGAON?%27,%27HSI83735%27)",423401.0,20.025038588985527,74.42942257541029,8805216886.0,101,Corporate,
54,13,ANJALI ICU MULTI SPECIALITY HEALTH CARE CENTRE LLP,572/2A/2/2B GREEN PARK COLONY CHALISGAON ROAD BHADGAON 424105,424105.0,21.126946946384123,74.22088126643074,9545926875.0,40,Corporate,
55,30,ANKUR HOSPITAL ZANTYE CLINIC,"SOMWAR PETH,Dr BALLAV MARG,SINDHUDURG",416606.0,16.057787639525337,73.46689146716463,9422482883.0,10,Corporate,
56,35,ANMOL MULTISPECIALITY HOSPITAL,2800 13 1ST FLOOR BHIWANDI GAYATRY NAGER ABOVE ANMOL HOTEL 421302,421302.0,19.209759615836937,73.04604483909819,8600392006.0,30,Corporate,
57,28,ANNASAHEB DANGE AYURVED MEDICAL COLLEGE DHANVANTARI HOSPITAL - Operated by Sant Gyaneshwar Shikshan Sanstha,"SANGLI-ISLAMPUR ROAD,NEAR ANAND COLONY,ASHTA",416301.0,16.95094980854562,74.42982222683399,9657597893.0,0,Corporate,
58,35,ANSH HOSPITAL,BHAYANDAR INDRALOK PHASE 6 401105,401105.0,19.30952832555372,72.85512528997991,7738144030.0,20,Corporate,
59,18,APEX HOSPITALS,,,19.11974998987016,72.87342008921952,,51,Corporate,
60,17,APEX HOSPITALS MULUND (UNIT OF NOBLE MEDICAL CENTRE),,,18.95856221334387,72.83253161850989,,100,Corporate,
61,15,APEX NURSING HOME A UNIT OF RBJ HOSPITAL,"C.S.NO.517 A/13 PLOT NO 27,SHIVAJI PARK,NEAR GADRE GARDEN, NEAR CBS, KOLHAPUR-416003",416003.0,16.431297978833587,74.14062159667927,9371123288.0,40,Corporate,
62,22,APEX WELLNESS HOSPITAL LLP,"SURVEY NO 799?%20PLOT%20NO%20187%20GOVIND%20NAGAR,GOVIND%20NAGAR,NEAR%20BSNL%20OFFICE,%27,%27HSI69961%27)",422009.0,19.988792744551656,73.71985318942207,9822012427.0,105,Corporate,
63,16,APOLLO NEUROCARE AND SUPERSPECIALITY HOSPITAL,NEAR OLD RENAPUR NAKA AMBAJOGAI ROAD 413512,413512.0,19.9688562852991,73.83208716235444,8668637243.0,35,Corporate,
64,16,APOLO MULTISPECIALITY HOSPITAL,"Plot no. 65,DESHPANDE COLONY,NANDI STOP ,AUSA ROAD,LATUR- 413512",413512.0,19.96808593978124,73.83229124401508,8308339564.0,51,Corporate,
65,15,APOORVA MULTI SUPERSPECIALITY HOSPITAL,4636 2 DR SPM ROAD BELGAUM DR SPM ROAD DR SPM ROAD NEAR PRAKASH THEATER BELGAUM 590002,590002.0,16.605361106558433,74.30444998446417,9591434643.0,100,Corporate,
66,10,APPALWAR EYE HOSPITAL GADCHIROLI,"Dhanora Road, Gadchiroli, In Front of Vaibhav Hotel Gadchiroli %E2%80%93 442605",442605.0,20.057591658101284,80.18143017587987,9404463811.0,10,Corporate,
67,4,APPLE HOSPITAL,,,19.94411486796191,75.42016625502917,,49,Corporate,
68,15,APPLE HOSPITALS AND RESEARCH INSTITUTE LTD,"804/2,805/2.Bhosalewadi, Circuit House-Kadamwadi Road,Nr.Circuit House,Kolhapur,",416003.0,16.43022866117516,74.14084262683987,9371190373.0,200,Corporate,
69,7,ARIHANT DIALYSIS CENTER,"ASHIRWAD HOSPITAL CAMPUS,OPP GARDE HALL,NEAR CHURCH ROAD,BULDHANA",443001.0,20.533334544694867,76.17971266969793,9881059327.0,10,Corporate,
70,15,ARIHANT SUPERSPECIALITY HOSPITAL JAYSINGPUR,"Nandani Road, Jaysingpur, Kolhapur - 416101",416101.0,16.60639000111792,74.30301364572168,9975951431.0,30,Corporate,
71,25,ASG Eye Hospital,"Shop no 2, ground floor, Cello platina building, Shivajinagar, Near Police Ground, F . C. Road, Pune-411005",411005.0,18.52710725596748,73.84997750354216,9968856495.0,14,Corporate,
72,19,ASHA HOSPITAL,"Nagpur Jabalpur Road, Kamptee, Nagpur, Maharashtra?%27,%27HSI4110%27)",441002.0,21.41413505797892,78.84078046999198,7109288741.0,100,Corporate,
73,26,ASHA MULTISPECIALITY HOSPITAL,"10 , ROADPALI-KALAMBOLI , SECTOR 16 , NEAR  DMART, Panvel  - 410218",410218.0,19.0267222,73.1048056,9819714425.0,50,Corporate,
74,22,ASHAPURI MULTISPECIALITY HOSPITAL,376 MANKAR IUDP ROAD MANMAD 423104,423104.0,20.330367062905182,74.24322290586443,9970303348.0,50,Corporate,
75,20,ASHIRWAD HOSPITAL,"H NO 2 11 47/1, P NO 83 BORBAN FACTORY,GOVARDHAN GHAT ROAD,NEAR GYALAXY HOSPITAL,NANDED",431601.0,20.554164357759408,74.51180583485367,9763727315.0,12,Corporate,
76,35,ASHISH HOSPITAL MULTISPECIALITY,SHOP NO30 31 32 B101 102 C 104 105 106 OPP JARIMARI TALAO KASHIGAON 401107,401107.0,19.19318541305887,73.06467993271376,9819250565.0,30,Corporate,
77,1,ASHVIN RURAL AYURVED HOSPITAL,Manchi  Hill Ashwi Bk tal.Sangamner  413714,413714.0,19.524659,74.418854,7620565399.0,200,Corporate,
78,13,ASHWINI MULTI SPECIALITY HOSPITAL,"62,HOUSING SOCIETY,SHAHU NAGAR,JALGAON",425001.0,20.464880275165505,75.00366431784164,9422780601.0,50,Corporate,
79,31,ASHWINI RURARL CANCER RESEARCH AND RELIEF SOCIETY,,,19.01864552219373,74.21068397531664,,137,Corporate,
80,4,ASIAN CITICARE SUPERSPECIALITY HOSPITAL,,,19.944380900770792,75.4192714922943,,102,Corporate,
81,17,ASIAN EYE INSTITUTE AND LASER CENTRE PVT LTD,,,18.95875510494294,72.83281629500057,,10,Corporate,
82,19,ASIAN KHMC MULTISPECIALITY HOSPITAL,"Plot No.213, SHANKAR NAGAR, 440010",440010.0,21.126356398170824,79.05749713112245,9975015673.0,50,Corporate,
83,4,ASPLs CSMSS MEDICAL COLLEGE AND HOSPITAL,,,19.94522178035885,75.41888530908906,,605,Corporate,
84,15,ASTER AADHAR HOSPITAL,"R S NO 628,NEAR SHASTRI NAGAR KMT WORKSHOP,SHASTRI NAGAR,KMT WORKSHOP",416012.0,16.412066251086472,74.1311253505312,9225068500.0,75,Corporate,
85,8,"ASTHA CRITICAL CARE AND MULTI-SPECIALITY HOSPITAL,BRAMHAPURI",2984/4 S.NO 63/2 Near sai Petrol Pump Delanwadi Delanwadi Taluka Bramhapuri 441206,441206.0,20.390257355105145,79.94706856517492,8605887346.0,30,Corporate,
86,1,ATMADEEP MULTISPECIALITY HOSPITAL AND ICU,NEWASA PHATA MAKTAPUR ROAD 414603,414603.0,19.61337575853861,75.08879175507703,8263851487.0,30,Corporate,
87,25,ATTHARVA ACCIDENT HOSPITAL,"153/154, TALEGAON DABHADE, NEAR NUTAN ENGINEERING COLLEGE, MAWAL, PUNE-410507",410507.0,18.74759179094552,73.68596508927195,9921330989.0,100,Corporate,
88,4,AURANGABAD CHIKALTHANA LIONS EYE HOSPITAL,,,19.945470565700816,75.41884747421501,,45,Corporate,
89,4,AURANGABAD INSTITUTE OF MEDICAL SCIENCES PVT LTD.,,,19.944739964391896,75.41971367774804,,52,Corporate,
90,4,AURANGABAD KIDNEY HOSPITAL,,,19.94523315213037,75.42023437763864,,30,Corporate,
91,2,AWAGHATE BAL RUGNALAYA AND MULTISPECIALITY CENTRE,"HARIYANAGAR,MAIN ROAD MURTIZAPUR,AKOLA,",444107.0,20.709450322048436,77.39032463582708,9011117501.0,20,Corporate,
92,35,AYUR HOSPITAL,"SHANESHWAR COMPLEX, NEAR BALAJI JEWELLERS.CHINCHPADA ,KALYAN EAST , Katemanivali , Kalyan , Maharashtra , 421306",421306.0,19.413354363816552,73.36580519690898,9967580872.0,50,Corporate,
93,7,AYUSHMAN HOSPITAL,"%C2%A0opposite chopade hospital, Chalis Bigha, Malkapur, Maharashtra 443101",443101.0,20.707112724283288,76.21025439632717,7827463003.0,30,Corporate,
94,11,AYUSHYA CRITICAL CARE AND MULTISPECIALITY HOSPITAL,"NEAR HINDI GROUND SCHOOL, RAILTOLI %E2%80%93 441614",441614.0,21.55612553723254,80.15636233173957,9823376654.0,32,Corporate,
95,14,Aadhar Hospital And ICU,"Plot no -4 Near Abasaheb Danve Residence New Mondha Road,Jalna -431203",431203.0,19.83994886982829,75.88966755319414,9420705796.0,50,Corporate,
96,28,Aaditya Hospital,"VISHRAMBAG SANGLI,SANGLI MIRAJ ROAD,Near Hotel Pai Prakash VISHRAMBAG SANGLI",416415.0,16.910158626805575,74.52077800122163,7798953295.0,50,Corporate,
97,35,Aarogya Super speciality Hospital,"unit 1,2,3 first floor jai shankar hight old mumbai pune road kharegaon naka kalwa west thane  400605",400605.0,19.193610809968824,72.99009674483665,9833556480.0,40,Corporate,
98,35,Aarogyam Multi-speciality Hospital,,,19.295150031408514,73.01873223910813,,35,Corporate,
99,25,"Aarogyam Multispeciality Hospital,Pvt,Khed,Pune","479, OPP. MARATHI SHALA,RANUBAIMALA, CHAKAN-TALEGAON ROAD, NANEKARWADI, KHED, PUNE- 410501",410501.0,18.70695271711375,73.97711000345886,9960760086.0,55,Corporate,
100,24,"Aashirwad Hospital,Parbhani,Pvt","168, DATTA NAGAR, JINTUR ROAD, GANPATI MANDIR, PARBHANI-431401",431401.0,19.269187470567488,76.77347752719552,8007539999.0,30,Corporate,
101,14,Aashirwad Superspecility Hospital,"Near Ambar Hotel, Ma Jijau Chouk , Jalna  , 431203",431203.0,19.840008265683835,75.8896456195869,7507488800.0,30,Corporate,
102,36,Aastha Hospital,"Manor Village,Palghar Wada Road,opp Alahabad Bank,Palghar",401403.0,19.7868466,73.0390519,9867638007.0,33,Corporate,
103,14,Aastha Hospital and ICU,"Bhokardan Naka,Rajur Road,JALNA",431203.0,19.83951621528635,75.88992797083488,9423680271.0,50,Corporate,
104,34,"Aastha Hospital, Wani","VEER WAMANRAO CHOWK, YAVATMAL  NEAR AMBIKE DIAGNOSTIC CENTRE 445001",445304.0,20.05509986851616,78.95327209146616,9168586600.0,15,Corporate,
105,7,Aastha accident hospital,"Govind Nagar,Kediyo Society Malkapur",443101.0,20.70853540419584,76.21016604117148,9284886842.0,30,Corporate,
106,14,Aayush Bal Rugnalay,"Plot no.12, Saklecha Nagar, Rajur Road, Saklecha Nagar - 431203",431203.0,19.839212427655177,75.89055175450893,8888131177.0,20,Corporate,
107,32,Acharya Vinoba Bhave Rural Hospital sawangi Wardha,"?Yavatmal%20Road,%20Sawangi%20Meghe,%20Wardha%20-%27,%27HSP061211523%27)",442001.0,20.75372211465622,78.51160916901443,8390117863.0,1525,Corporate,
108,20,"Adhav Hospitals ,Nirmal Neurocare & Super Speciality Centre",Jawahar Nagar,431601.0,20.55365893177424,74.51231181591413,8446134801.0,45,Corporate,
109,25,"Aditya Birla Memorial Hospital,Chinchwad,Pune,PVT","Survey No.31,Thergaon,Aditya Birla Hospital Marg,Chinchwad",411033.0,18.56644970035378,73.89424726448976,9881123027.0,500,Corporate,
110,26,Advanced Centre for Treatment Research & Education in Cancer (ACTREC) Tata Memorial Centre,"plot no. 1 and 2, sector 22, Kharghar",410210.0,19.013792814750456,73.17097232695886,9869451628.0,120,Government,GH
111,28,Akashdeep Hospital,"39, Yeshwant Housing Society, Anand Nursing Home, Sangli Road, Sangli-416410",416410.0,17.034863014639768,74.6009020537167,9890787999.0,8,Corporate,
112,31,"Akluj Multispeciality Hospital,Malshiras,Solapur,Pvt","Shree shoping center, first floore, Market yard near , Akluj, Malshiras, Solapur-413101",413101.0,17.477789926043947,75.29774089442579,8805975345.0,35,Corporate,
113,28,Akshay Multispecialty Hospital,"Kukarud, Karad Malkapur Road, Shirala, Sangli-415405",415405.0,18.97,73.15,9623242222.0,30,Corporate,
114,31,"Aldar Hospital,Sangola,Solapur,Pvt","Yerande Complex, Station road, Near Railway station, Songola, Solapur- 413307",413307.0,17.40533802918868,75.13624631019533,9029044009.0,10,Corporate,
115,25,"Alephata Hospital,Junnar,Pune,Pvt","2979/2, AHEMADNAGAR KALYAN HAYWAY, Opp.HP GAS GOUDUN, JUNNAR, Pune-412411",412411.0,19.109895855900422,74.10707783267104,9822018910.0,75,Corporate,
116,26,Alibaug Dialysis centre,"156, SHREEBAG NO 2, 402201 156, SHREEBAG NO 2, 402201",402201.0,18.642188886803947,72.87295112307386,9423892281.0,5,Corporate,
117,26,All For Eye Hospital,"Beside BSNL Office, Unimount Empire, Old mumbai- Pune Highway , Khopoli %E2%80%93 410203",410203.0,18.83,72.38,7057458280.0,5,Corporate,
118,4,Alpine superspecialty Hospital,,,19.94417402057141,75.41846826686871,,80,Corporate,
119,15,Amate Hospital,"1070, Bhogawati - Shahunagar (Parite), Bhogawati Sugar Factory, Radhanagari Road, Tahsil : Karveer, Kolhapur-416211",416211.0,16.605591429912945,74.30451661386064,9404066000.0,25,Corporate,
120,7,Amrut Hrudayala and superspeciality hospital,"Plot No 1,survey No 26/5 Jambhure road, Buldhana",443001.0,20.533695278523517,76.17940672199202,9922553948.0,50,Corporate,
121,1,Anand Rishiji Hospital And MRC,"124,Near Railway Station,Anand Rishiji Marg,Near Hotel Yash Palace,?%27,%27HSI22357%27)",414001.0,19.161991223638207,77.3063547120135,9890211999.0,163,Corporate,
122,25,"Anandi Multispeciality Hospital,Purandar,Pune,Pvt","PUNE-SASWAD ROAD, JEJURI, Pune-412303",412303.0,18.300395999183788,74.24918737173864,7620254150.0,30,Corporate,
123,6,Anandrishji Diagnostic centre,Jalna road - Beed - 431122,431122.0,19.83938010941796,75.8895975574333,8262009091.0,10,Corporate,
124,17,Anant Kalpana Dialysis centre Rashmi Foundation,,,18.95742444317716,72.83119826709704,,20,Corporate,
125,35,Anil Eye Hospital,"Opp. Dedhia Bhavan, The Signature, Ganesh Mandir Road %E2%80%93 421201",421201.0,19.216214958432985,73.08257132293431,9769483796.0,10,Corporate,
126,15,"Anish Multispeciality Hospital, Kurundwad","Anish Multispeciality,KURUNDWAD,TERWAD ROAD,KOLHAPUR?%27,%27HSI53393%27)",416106.0,16.605820495027874,74.30353247484828,9404987111.0,40,Corporate,
127,9,Anjana heart hospital,"25, suyog colony, mahindale shivar ,sakri road,Dhule-424001",424001.0,20.92630726556814,74.73975745211956,9892224981.0,40,Corporate,
128,7,Anjanta Hospital,"Mehkar,443301",443301.0,20.140329947571367,76.56342070300143,9422158111.0,15,Corporate,
129,31,"Ankur Bal Rugnalyala ,Pandharpur,Solapur,Pvt","4739/2, NEAR TAKALE HOSPITAL, KARAD ROAD, NEAR ISCON TEMPLE, PANDHARPUR, SOLAPUR-413304",413304.0,17.793277006261054,75.35772184081274,9822521773.0,30,Corporate,
130,28,"Anuradha Superspeciality Eye Hospital,Sangli,Pvt","VISHRAMBAG, 100 FT ROAD, GANESH MANDIR BYLANE, SANGLI-416415",416415.0,16.909550197763117,74.52027821569399,9422614784.0,50,Corporate,
131,35,Anurag Multispecialty hospital,"gurukrupa complex,Vaitarna road Khardi, Kasara , tal:, district:, Shahapur, Maharashtra 421301",421301.0,19.534981923947285,76.14589534452654,8888019896.0,30,Corporate,
132,25,"Anushree Childrens And Multispeciality Hospital,Indapur,Pune,Pvt","W1Z1006413,  OLD PUNE SOLAPUR HIGHWAY, BEHIND SBI, INDAPUR, PUNE- 413106",413106.0,18.101701102958994,75.09471726094155,8766593631.0,30,Corporate,
133,27,Aparant Hospital,"APARANT HOSPITAL CHIPLUN,SAVITRI ENCLAVE,CHIPLUN,ABOVE KINGS SUPERMARKET BHOGALE,OPP LIC OFFICE,RATNAGIRI",415605.0,17.534167344511125,73.51574328880928,9028229708.0,30,Corporate,
134,20,Apeksha critical care and multispecialty hospital pvt ltd nanded,"Railway Station Road, Nanded",431601.0,20.55482437797575,74.51247465278146,9226386007.0,55,Corporate,
135,22,Apex Hospital,"60 fit road,shamji nagar, Satana,rajmata jijau chowk %E2%80%93 423301",423301.0,20.591199757154826,74.19966587862127,9423971048.0,50,Corporate,
136,25,Apex Hospital,"319/3,Rajgurunagar,Pune Nasik Highway,Pune Nashik Highway,PUNE",410505.0,18.989453203838316,73.63509055351513,9999999.0,50,Corporate,
137,25,"Apex Hospital,Pune City,Pvt","SR NO 13/12, KALEWADI PHATA , PAWAR NAGAR,THERGAON, NEAR RHYATHAM SOCIETY, Pune -411033",411033.0,18.566424729407785,73.89438517755464,8830811676.0,45,Corporate,
138,35,"Apex Kideny Care Center , Miraroad","Apex Kidney Care Pvt Ltd,101, Eden Rose Complex,Miraroad (East),Beverly Park,Opp. Cinemax Theatre,THANE",401107.0,19.192527184268744,73.06302729985323,9821267704.0,9,Corporate,
139,35,"Apex Kideny Care Center , Vashi","Plot No 41/1, Hope & Care Centre, Sector 3,",400705.0,19.07216147433289,73.0084093651612,9821267704.0,12,Corporate,
140,35,"Apex Kidney Care Centre , Kalyan","Parnaka Rd, Samarth Co-Operative Housing Society, Kalyan West, Kalyan, Maharashtra",421301.0,19.53612363713908,76.14477826132162,9821267704.0,14,Corporate,
141,19,Archangel Hospital,"PLOT NO 5&6, UMRED, NARAYAN NAGAR BYPASS ROAD UMRED, OPP.INDANE GAS GODAWN, 441203",441203.0,20.921539895946573,79.36415358698,7116243220.0,50,Corporate,
142,28,"Areen Hospital,Miraj,Sangli","MIRAJ, VANTMURE CORNER, SANGLI-416410",416410.0,17.0354583806232,74.60223629820293,8830688642.0,35,Corporate,
